product_id,description
1,"wireless mouse with ergonomic design, rechargeable battery, and advanced optical sensor"
2,"ergonomic wireless keyboard, compact, Bluetooth connectivity, long battery life"
3,"wireless headphones with noise-cancellation, over-ear, built-in microphone"
4,"compact wireless charger, compatible with all Qi-enabled devices, fast charging"
5,"smartphone with OLED display, 5G support, 128GB storage, triple camera"
6,"4K UHD smart TV, 55-inch, HDR, streaming apps, voice control"
7,"bluetooth speaker with deep bass, waterproof, portable, 12-hour battery life"
8,"laptop with Intel i7, 16GB RAM, 512GB SSD, 15-inch display, high-performance graphics"
9,"smartwatch with fitness tracking, heart rate monitor, waterproof, custom watch faces"
10,"portable power bank, 10,000mAh, fast charging, dual USB output"
11,"wireless gaming mouse, adjustable DPI, RGB lighting, ergonomic design"
12,"bluetooth noise-canceling headphones, foldable, long battery life"
13,"smart thermostat with Wi-Fi, energy-saving mode, app-controlled"
14,"compact digital camera with 24MP sensor, full HD video recording, touchscreen display"
15,"fitness tracker with sleep monitoring, step counter, heart rate monitor"
16,"wireless mouse with precision tracking, Bluetooth 5.0, ergonomic design"
17,"laptop with AMD Ryzen 5, 8GB RAM, 256GB SSD, high-performance graphics"
18,"smartphone with AMOLED screen, 64GB storage, dual rear cameras"
19,"4K UHD smart TV with voice control, streaming services, Dolby Vision"
20,"portable Bluetooth speaker, waterproof, up to 20 hours of battery life"
21,"gaming headset with surround sound, noise-canceling microphone"
22,"smart home camera with motion detection, night vision, remote viewing"
23,"ultra-lightweight wireless keyboard, slim design, rechargeable battery"
24,"smartwatch with sleep tracking, GPS, customizable bands"
25,"portable power bank, 15,000mAh, fast charging, built-in cables"
26,"compact wireless charger, fast charging for smartphones, portable"
27,"tablet with high-resolution display, long battery life, lightweight"
28,"wireless headphones with deep bass, foldable, easy storage"
29,"4K UHD smart TV with multi-screen support, voice assistant"
30,"gaming laptop with Intel i9, 32GB RAM, 1TB SSD, GTX 1660 Ti graphics"
